team_name,canonical_name,generated_team_key,reason
Southern Illinois Salukis,Southern Illinois Salukis,SIS,missing from normalization config keys
Southern Miss Golden Eagles,Southern Miss Golden Eagles,SMG,missing from normalization config keys
Southern Mississippi Golden Eagles,Southern Mississippi Golden Eagles,SMG2,missing from normalization config keys
Southern University Jaguars,Southern University Jaguars,SUJ,missing from normalization config keys
Southern Utah Thunderbirds,Southern Utah Thunderbirds,SUT,missing from normalization config keys
St. Francis (PA) Red Flash,St. Francis (PA) Red Flash,SFP,missing from normalization config keys
Stanford Cardinal,Stanford Cardinal,SC,missing from normalization config keys
Stephen F. Austin Lumberjacks,Stephen F. Austin Lumberjacks,SFA,missing from normalization config keys
Stonehill Skyhawks,Stonehill Skyhawks,SS,missing from normalization config keys
Stony Brook Seawolves,Stony Brook Seawolves,SBS,missing from normalization config keys
Syracuse Orange,Syracuse Orange,SO,missing from normalization config keys
TCU Horned Frogs,TCU Horned Frogs,THF,missing from normalization config keys
Tarleton State Texans,Tarleton State Texans,TST,missing from normalization config keys
Temple Owls,Temple Owls,TO,missing from normalization config keys
Tennessee State Tigers,Tennessee State Tigers,TST2,missing from normalization config keys
Tennessee Tech Golden Eagles,Tennessee Tech Golden Eagles,TTG,missing from normalization config keys
Tennessee Volunteers,Tennessee Volunteers,TV,missing from normalization config keys
Texas A&M Aggies,Texas A&M Aggies,TAA,missing from normalization config keys
Texas Longhorns,Texas Longhorns,TL,missing from normalization config keys
Texas Southern Tigers,Texas Southern Tigers,TST3,missing from normalization config keys
Texas State Bobcats,Texas State Bobcats,TSB,missing from normalization config keys
Texas Tech Red Raiders,Texas Tech Red Raiders,TTR,missing from normalization config keys
The Citadel Bulldogs,The Citadel Bulldogs,TCB,missing from normalization config keys
Toledo Rockets,Toledo Rockets,TR,missing from normalization config keys
Towson Tigers,Towson Tigers,TT,missing from normalization config keys
Troy Trojans,Troy Trojans,TT2,missing from normalization config keys
Tulane Green Wave,Tulane Green Wave,TGW,missing from normalization config keys
Tulsa Golden Hurricane,Tulsa Golden Hurricane,TGH,missing from normalization config keys
UAB Blazers,UAB Blazers,UB,missing from normalization config keys
UAlbany Great Danes,UAlbany Great Danes,UGD,missing from normalization config keys
UC Davis Aggies,UC Davis Aggies,UDA,missing from normalization config keys
UCF Knights,UCF Knights,UK,missing from normalization config keys
UCLA Bruins,UCLA Bruins,UB2,missing from normalization config keys
UConn Huskies,UConn Huskies,UH,missing from normalization config keys
UL Monroe Warhawks,UL Monroe Warhawks,UMW,missing from normalization config keys
UMass Minutemen,UMass Minutemen,UM,missing from normalization config keys
UNLV Rebels,UNLV Rebels,UR,missing from normalization config keys
USC Trojans,USC Trojans,UT,missing from normalization config keys
UT Martin Skyhawks,UT Martin Skyhawks,UMS,missing from normalization config keys
UT Rio Grande Valley Vaqueros,UT Rio Grande Valley Vaqueros,URG,missing from normalization config keys
UTEP Miners,UTEP Miners,UM2,missing from normalization config keys
UTSA Roadrunners,UTSA Roadrunners,UR2,missing from normalization config keys
Utah State Aggies,Utah State Aggies,USA,missing from normalization config keys
Utah Tech Trailblazers,Utah Tech Trailblazers,UTT,missing from normalization config keys
Utah Utes,Utah Utes,UU,missing from normalization config keys
VMI Keydets,VMI Keydets,VK,missing from normalization config keys
Vanderbilt Commodores,Vanderbilt Commodores,VC,missing from normalization config keys
Villanova Wildcats,Villanova Wildcats,VW,missing from normalization config keys
Virginia Cavaliers,Virginia Cavaliers,VC2,missing from normalization config keys
Virginia Tech Hokies,Virginia Tech Hokies,VTH,missing from normalization config keys
Wagner Seahawks,Wagner Seahawks,WS,missing from normalization config keys
Wake Forest Demon Deacons,Wake Forest Demon Deacons,WFD,missing from normalization config keys
Washington Huskies,Washington Huskies,WH,missing from normalization config keys
Washington State Cougars,Washington State Cougars,WSC,missing from normalization config keys
Weber State Wildcats,Weber State Wildcats,WSW,missing from normalization config keys
West Georgia Wolves,West Georgia Wolves,WGW,missing from normalization config keys
West Virginia Mountaineers,West Virginia Mountaineers,WVM,missing from normalization config keys
Western Carolina Catamounts,Western Carolina Catamounts,WCC,missing from normalization config keys
Western Illinois Leathernecks,Western Illinois Leathernecks,WIL,missing from normalization config keys
Western Kentucky Hilltoppers,Western Kentucky Hilltoppers,WKH,missing from normalization config keys
Western Michigan Broncos,Western Michigan Broncos,WMB,missing from normalization config keys
William and Mary Tribe,William and Mary Tribe,WAM,missing from normalization config keys
Wisconsin Badgers,Wisconsin Badgers,WB,missing from normalization config keys
Wofford Terriers,Wofford Terriers,WT,missing from normalization config keys
Wyoming Cowboys,Wyoming Cowboys,WC,missing from normalization config keys
Youngstown St Penguins,Youngstown St Penguins,YSP,missing from normalization config keys
Youngstown State Penguins,Youngstown State Penguins,YSP2,missing from normalization config keys
