game_id,game_date,home_team,away_team,spread_pick,total_pick,spread_edge,total_edge,parlay_edge_score,spread_home_last,total_last,moneyline_home_last,confidence_tier,cluster_alignment,disagreement_flag,actionability
0022500051,2025-11-21T00:00:00Z,Chicago Bulls,Miami Heat,,,,,,,,,IGNORE,NONE,False,
0022500052,2025-11-21T00:00:00Z,Dallas Mavericks,New Orleans Pelicans,,,,,,,,,IGNORE,NONE,False,
0022500053,2025-11-21T00:00:00Z,Phoenix Suns,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0022500054,2025-11-21T00:00:00Z,Houston Rockets,Denver Nuggets,,,,,,,,,IGNORE,NONE,False,
0022500055,2025-11-21T00:00:00Z,Utah Jazz,Oklahoma City Thunder,,,,,,,,,IGNORE,NONE,False,
0022500056,2025-11-21T00:00:00Z,Golden State Warriors,Portland Trail Blazers,,,,,,,,,IGNORE,NONE,False,
0022500057,2025-11-25T00:00:00Z,Washington Wizards,Atlanta Hawks,,,,,,,,,IGNORE,NONE,False,
0022500058,2025-11-25T00:00:00Z,Philadelphia 76ers,Orlando Magic,,,,,,,,,IGNORE,NONE,False,
0022500059,2025-11-25T00:00:00Z,Los Angeles Lakers,LA Clippers,,,,,,,,,IGNORE,NONE,False,
0022500060,2025-11-26T00:00:00Z,Boston Celtics,Detroit Pistons,,,,,,,,,IGNORE,NONE,False,
0022500061,2025-11-26T00:00:00Z,Charlotte Hornets,New York Knicks,,,,,,,,,IGNORE,NONE,False,
0022500062,2025-11-26T00:00:00Z,Miami Heat,Milwaukee Bucks,,,,,,,,,IGNORE,NONE,False,
0022500063,2025-11-26T00:00:00Z,Toronto Raptors,Indiana Pacers,,,,,,,,,IGNORE,NONE,False,
0022500064,2025-11-26T00:00:00Z,Oklahoma City Thunder,Minnesota Timberwolves,,,,,,,,,IGNORE,NONE,False,
0022500065,2025-11-26T00:00:00Z,New Orleans Pelicans,Memphis Grizzlies,,,,,,,,,IGNORE,NONE,False,
0022500066,2025-11-26T00:00:00Z,Golden State Warriors,Houston Rockets,,,,,,,,,IGNORE,NONE,False,
0022500067,2025-11-26T00:00:00Z,Portland Trail Blazers,San Antonio Spurs,,,,,,,,,IGNORE,NONE,False,
0022500068,2025-11-26T00:00:00Z,Sacramento Kings,Phoenix Suns,,,,,,,,,IGNORE,NONE,False,
0022500069,2025-11-28T00:00:00Z,Atlanta Hawks,Cleveland Cavaliers,,,,,,,,,IGNORE,NONE,False,
0022500070,2025-11-28T00:00:00Z,Brooklyn Nets,Philadelphia 76ers,,,,,,,,,IGNORE,NONE,False,
0022500071,2025-11-28T00:00:00Z,Charlotte Hornets,Chicago Bulls,,,,,,,,,IGNORE,NONE,False,
