game_id,game_date,season_year,side,team_id,team,abbr,opponent_side,opponent_team_id,opponent,opponent_abbr,points_scored,points_allowed,went_ot,ot_minutes,rest_days,rest_bucket,fatigue_flag,fatigue_score,fatigue_diff_home_minus_away,avg_points_for,avg_points_against,net_rating,last5_points_for,last5_points_against,net_rating_last5,team_3pm,team_3pa,team_3pt_pct,injury_impact,num_out,num_questionable
0012500018,2025-10-11T00:00:00Z,2025,home,1610612763,Memphis Grizzlies,MEM,away,1610612737,Atlanta Hawks,ATL,116,122,False,0,2,2_days,True,0.15,0.15,107.5,124.5,-17.0,,,,14,47,0.2979,0.0,0,0
0012500018,2025-10-11T00:00:00Z,2025,away,1610612737,Atlanta Hawks,ATL,home,1610612763,Memphis Grizzlies,MEM,122,116,False,0,4,3_plus_days,False,0.0,0.15,113.0,122.0,-9.0,,,,9,31,0.2903,0.0,0,0
0012500046,2025-10-11T00:00:00Z,2025,home,1610612754,Indiana Pacers,IND,away,1610612760,Oklahoma City Thunder,OKC,116,101,False,0,3,3_plus_days,False,0.0,-0.4,,,,,,,12,48,0.25,0.0,0,0
0012500046,2025-10-11T00:00:00Z,2025,away,1610612760,Oklahoma City Thunder,OKC,home,1610612754,Indiana Pacers,IND,101,116,False,0,1,1_day,True,0.4,-0.4,112.0,110.0,2.0,,,,12,37,0.3243,0.0,0,0
0012500047,2025-10-11T00:00:00Z,2025,home,1610612742,Dallas Mavericks,DAL,away,1610612766,Charlotte Hornets,CHA,116,120,False,0,4,3_plus_days,False,0.0,-0.4,106.0,89.0,17.0,,,,10,27,0.3704,0.0,0,0
0012500047,2025-10-11T00:00:00Z,2025,away,1610612766,Charlotte Hornets,CHA,home,1610612742,Dallas Mavericks,DAL,120,116,False,0,1,1_day,True,0.4,-0.4,116.0,122.0,-6.0,,,,16,39,0.4103,0.0,0,0
0012500004,2025-10-12T00:00:00Z,2025,home,1610612747,Los Angeles Lakers,LAL,away,1610612744,Golden State Warriors,GSW,126,116,False,0,6,3_plus_days,False,0.0,0.0,81.0,103.0,-22.0,,,,12,27,0.4444,0.0,0,0
0012500004,2025-10-12T00:00:00Z,2025,away,1610612744,Golden State Warriors,GSW,home,1610612747,Los Angeles Lakers,LAL,116,126,False,0,3,3_plus_days,False,0.0,0.0,,,,,,,14,43,0.3256,0.0,0,0
0012500013,2025-10-12T00:00:00Z,2025,home,1610612756,Phoenix Suns,PHX,away,1610612751,Brooklyn Nets,BKN,109,111,False,0,1,1_day,True,0.4,0.0,,,,,,,13,38,0.3421,0.0,0,0
0012500013,2025-10-12T00:00:00Z,2025,away,1610612751,Brooklyn Nets,BKN,home,1610612756,Phoenix Suns,PHX,111,109,False,0,1,1_day,True,0.4,0.0,,,,,,,17,40,0.425,0.0,0,0
0012500048,2025-10-12T00:00:00Z,2025,home,1610612764,Washington Wizards,WAS,away,1610612761,Toronto Raptors,TOR,112,113,False,0,1885,3_plus_days,False,0.0,-0.4,,,,,,,9,31,0.2903,0.0,0,0
0012500048,2025-10-12T00:00:00Z,2025,away,1610612761,Toronto Raptors,TOR,home,1610612764,Washington Wizards,WAS,113,112,False,0,1,1_day,True,0.4,-0.4,130.0,122.0,8.0,,,,14,49,0.2857,0.0,0,0
