all_time_snapshot_count,away_abbr,away_avg_points_against,away_avg_points_for,away_fatigue_flag,away_fatigue_score,away_last5_points_against,away_last5_points_for,away_net_rating,away_net_rating_last5,away_points,away_rest_bucket,away_rest_days,away_team,away_team_3pa,away_team_3pm,away_team_3pt_pct,away_team_id,consensus_book_count,fatigue_diff_home_minus_away,game_date,game_id,home_abbr,home_avg_points_against,home_avg_points_for,home_fatigue_flag,home_fatigue_score,home_injury_impact,home_last5_points_against,home_last5_points_for,home_net_rating,home_net_rating_last5,home_num_out,home_num_questionable,home_points,home_rest_bucket,home_rest_days,home_team,home_team_3pa,home_team_3pm,home_team_3pt_pct,home_team_id,moneyline_away_consensus,moneyline_away_consensus_all_time,moneyline_away_last,moneyline_home_consensus,moneyline_home_consensus_all_time,moneyline_home_last,nba_game_day_local,odds_commence_time_utc,odds_join_method,odds_snapshot_last_utc,ot_minutes,season_year,spread_away_consensus,spread_away_consensus_all_time,spread_away_last,spread_home_consensus,spread_home_consensus_all_time,spread_home_last,total_consensus,total_consensus_all_time,total_last,went_ot
,TOR,117.0,121.5,True,0.15,,,4.5,,108,2_days,2,Toronto Raptors,36,12,0.3333,1610612761,,0.0,2025-10-15T00:00:00Z,0012500062,BOS,107.0,138.0,True,0.15,0.0,,,31.0,,0,0,110,2_days,2,Boston Celtics,52,15,0.2885,1610612738,,,,,,,2025-10-15,,,,0,2025,,,,,,,,,,False
,NOP,,,True,0.4,,,,,125,1_day,1,New Orleans Pelicans,31,9,0.2903,1610612740,,-0.4,2025-10-16T00:00:00Z,0012500023,ORL,104.0,120.0,False,0.0,0.0,,,16.0,,0,0,132,3_plus_days,3,Orlando Magic,31,14,0.4516,1610612753,,,,,,,2025-10-16,,,,0,2025,,,,,,,,,,False
,HOU,128.0,130.0,True,0.4,,,2.0,,133,1_day,1,Houston Rockets,48,19,0.3958,1610612745,,-0.25,2025-10-16T00:00:00Z,0012500024,ATL,118.0,119.0,True,0.15,0.0,,,1.0,,0,0,115,2_days,2,Atlanta Hawks,36,10,0.2778,1610612737,,,,,,,2025-10-16,,,,0,2025,,,,,,,,,,False
,POR,129.0,123.0,True,0.4,,,-6.0,,129,1_day,1,Portland Trail Blazers,54,21,0.3889,1610612757,,-0.25,2025-10-16T00:00:00Z,0012500025,UTA,114.0,101.0,True,0.15,0.0,,,-13.0,,0,0,132,2_days,2,Utah Jazz,38,14,0.3684,1610612762,,,,,,,2025-10-16,,,,0,2025,,,,,,,,,,False
,WAS,103.0,120.0,True,0.15,,,17.0,,98,2_days,2,Washington Wizards,33,8,0.2424,1610612764,,0.25,2025-10-16T00:00:00Z,0012500063,DET,,,True,0.4,0.0,,,,,0,0,119,1_day,1,Detroit Pistons,36,15,0.4167,1610612765,,,,,,,2025-10-16,,,,0,2025,,,,,,,,,,False
,MIN,108.0,110.5,False,0.0,,,2.5,,120,3_plus_days,6,Minnesota Timberwolves,31,13,0.4194,1610612750,,0.4,2025-10-16T00:00:00Z,0012500064,CHI,119.5,120.0,True,0.4,0.0,,,0.5,,0,0,126,1_day,1,Chicago Bulls,43,11,0.2558,1610612741,,,,,,,2025-10-16,,,,0,2025,,,,,,,,,,False
,MEM,145.0,116.0,True,0.4,,,-29.0,,141,1_day,1,Memphis Grizzlies,39,20,0.5128,1610612763,,-0.4,2025-10-17T00:00:00Z,0012500006,MIA,113.66666666666667,106.0,False,0.0,0.0,116.0,108.0,-7.666666666666671,-8.0,0,0,125,3_plus_days,3,Miami Heat,33,13,0.3939,1610612748,,,,,,,2025-10-17,,,,0,2025,,,,,,,,,,False
,SAC,124.0,123.0,True,0.4,,,-1.0,,117,1_day,1,Sacramento Kings,29,13,0.4483,1610612758,,0.0,2025-10-17T00:00:00Z,0012500007,LAL,113.33333333333333,100.33333333333333,True,0.4,0.0,112.8,101.6,-13.0,-11.200000000000003,0,0,116,1_day,1,Los Angeles Lakers,43,17,0.3953,1610612747,,,,,,,2025-10-17,,,,0,2025,,,,,,,,,,False
,BKN,109.0,111.0,False,0.0,,,2.0,,114,3_plus_days,4,Brooklyn Nets,40,15,0.375,1610612751,,0.4,2025-10-17T00:00:00Z,0012500065,TOR,108.5,107.5,True,0.4,0.0,112.2,113.2,-1.0,1.0,0,0,119,1_day,1,Toronto Raptors,28,10,0.3571,1610612761,,,,,,,2025-10-17,,,,0,2025,,,,,,,,,,False
,CHA,119.0,118.0,True,0.4,,,-1.0,,108,1_day,1,Charlotte Hornets,41,14,0.3415,1610612766,,-0.4,2025-10-17T00:00:00Z,0012500066,NYK,99.66666666666667,100.66666666666667,False,0.0,0.0,,,1.0,,0,0,113,3_plus_days,3,New York Knicks,48,18,0.375,1610612752,,,,,,,2025-10-17,,,,0,2025,,,,,,,,,,False
