game_id,away_team,home_team,away_score,home_score,margin_home_minus_away,actual_total,vegas_spread_home,vegas_total,model,projected_margin,spread_edge,projected_total,total_edge,model_spread_pick,model_total_pick,model_spread_result,model_total_result,model_parlay_result,authority_spread_pick,authority_total_pick,authority_spread_result,authority_total_result,confidence_tier,arbitration_cluster,selection_authority,is_authority
0022500688,Los Angeles Lakers,Washington Wizards,142,111,-31,253,10.0,230.0,MonkeyDarts_v2,2.2671880594351315,-7.7328119405648685,225.70964359964796,-4.290356400352039,HOME,UNDER,LOSS,LOSS,LOSS,HOME,OVER,LOSS,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500689,Sacramento Kings,Boston Celtics,93,112,19,205,-11.5,217.5,FatiguePlus_v3,-11.62724358974359,-0.12724358974359085,228.0100641025641,10.510064102564087,HOME,OVER,WIN,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,IGNORE,NONE,Joel_Baseline_v1,False
0022500689,Sacramento Kings,Boston Celtics,93,112,19,205,-11.5,217.5,InjuryModel_v2,-9.527243589743591,1.9727564102564088,230.2900641025641,12.790064102564088,AWAY,OVER,LOSS,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,IGNORE,NONE,Joel_Baseline_v1,False
0022500689,Sacramento Kings,Boston Celtics,93,112,19,205,-11.5,217.5,Joel_Baseline_v1,-9.527243589743591,1.9727564102564088,230.2900641025641,12.790064102564088,AWAY,OVER,LOSS,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,IGNORE,NONE,Joel_Baseline_v1,True
0022500689,Sacramento Kings,Boston Celtics,93,112,19,205,-11.5,217.5,MonkeyDarts_v2,-8.998291462352544,2.501708537647456,237.78783714040037,20.28783714040037,AWAY,OVER,LOSS,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,IGNORE,NONE,Joel_Baseline_v1,False
0022500690,Portland Trail Blazers,New York Knicks,97,127,30,224,-7.5,224.5,FatiguePlus_v3,-6.103614058355433,1.3963859416445672,229.3733819628647,4.873381962864698,AWAY,OVER,LOSS,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,IGNORE,NONE,Joel_Baseline_v1,False
0022500690,Portland Trail Blazers,New York Knicks,97,127,30,224,-7.5,224.5,InjuryModel_v2,-6.541114058355433,0.9588859416445672,229.9283819628647,5.428381962864705,AWAY,OVER,LOSS,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,IGNORE,NONE,Joel_Baseline_v1,False
0022500690,Portland Trail Blazers,New York Knicks,97,127,30,224,-7.5,224.5,Joel_Baseline_v1,-6.541114058355433,0.9588859416445672,229.9283819628647,5.428381962864705,AWAY,OVER,LOSS,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,IGNORE,NONE,Joel_Baseline_v1,True
0022500690,Portland Trail Blazers,New York Knicks,97,127,30,224,-7.5,224.5,MonkeyDarts_v2,-13.98082566749834,-6.48082566749834,237.37602712351878,12.876027123518782,HOME,OVER,WIN,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,IGNORE,NONE,Joel_Baseline_v1,False
0022500691,Memphis Grizzlies,New Orleans Pelicans,106,114,8,220,-3.0,231.5,FatiguePlus_v3,-0.3650362318840621,2.634963768115938,235.94097423510465,4.4409742351046475,AWAY,OVER,LOSS,LOSS,LOSS,AWAY,OVER,LOSS,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
