game_id,game_date,odds_commence_time_utc,odds_commence_time_cst,season_year,went_ot,ot_minutes,home_team_id,home_team,home_abbr,home_points,home_rest_days,home_rest_bucket,home_fatigue_flag,home_fatigue_score,home_avg_points_for,home_avg_points_against,home_net_rating,away_team_id,away_team,away_abbr,away_points,away_rest_days,away_rest_bucket,away_fatigue_flag,away_fatigue_score,away_avg_points_for,away_avg_points_against,away_net_rating,home_team_3pm,home_team_3pa,home_team_3pt_pct,away_team_3pm,away_team_3pa,away_team_3pt_pct,avg_team_3pm,avg_team_3pa,avg_team_3pt_pct,home_away_3pt_pct_diff,spread_home,spread_away,total,moneyline_home,moneyline_away,odds_source_used,Projected Home Score,Projected Away score,Total Projection,Total Bet,Home Line Projection,Line Bet,Spread Edge,Total Edge,Parlay Edge Score,Explanation,Line Result,odds_snapshot_utc,odds_match_method,Decision Factors,actionability,agent_override_confidence_delta,agent_override_pick,agent_override_reason,all_time_snapshot_count,confidence_reason,consensus_book_count,fatigue_diff_home_minus_away,home_injury_impact,home_num_out,home_num_questionable,moneyline_away_consensus,moneyline_away_consensus_all_time,moneyline_away_last,moneyline_home_consensus,moneyline_home_consensus_all_time,moneyline_home_last,nba_game_day_local,odds_commence_time_raw,odds_join_method,odds_snapshot_last_utc,spread_away_consensus,spread_away_consensus_all_time,spread_away_last,spread_home_consensus,spread_home_consensus_all_time,spread_home_last,total_consensus,total_consensus_all_time,total_last
0012500052,2025-10-12T00:00:00Z,,,2025,False,0,1610612746,LA Clippers,LAC,94,,unknown,False,0.0,,,,1610612743,Denver Nuggets,DEN,102,5,3_plus_days,False,0.0,133.5,121.0,12.5,9,37,0.2432,15,42,0.3571,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-12,,,,,,,,,,,,
0012500019,2025-10-13T00:00:00Z,,,2025,True,5,1610612737,Atlanta Hawks,ATL,119,1,1_day,True,0.75,119.0,119.29,-0.29,1610612748,Miami Heat,MIA,118,0,b2b,True,1.95,117.5,117.33,0.17,12,48,0.25,5,34,0.1471,,,,,,,,,,LAST,118.16499999999999,118.39500000000001,236.56,,0.2300000000000182,,,,,,,,,{},NONE,,,,,No model signal,,-1.2,0.0,0,0,,,,,,,2025-10-13,,,,,,,,,,,,
0012500053,2025-10-13T00:00:00Z,,,2025,False,0,1610612754,Indiana Pacers,IND,108,1,1_day,True,0.4,112.56,115.56,-3.0,1610612759,San Antonio Spurs,SAS,124,2,2_days,True,0.15,114.0,112.08,1.92,19,41,0.4634,15,37,0.4054,,,,,,,,,,LAST,112.32,114.78,227.1,,2.460000000000008,,,,,,,,,{},NONE,,,,,No model signal,,0.25,0.0,0,0,,,,,,,2025-10-13,,,,,,,,,,,,
0012500054,2025-10-13T00:00:00Z,,,2025,False,0,1610612752,New York Knicks,NYK,103,3,3_plus_days,False,0.0,126.5,104.5,22.0,1610612764,Washington Wizards,WAS,120,0,b2b,True,1.6,111.75,123.5,-11.75,13,42,0.3095,14,36,0.3889,,,,,,,,,,LAST,125.0,108.125,233.125,,-16.875,,,,,,,,,{},NONE,,,,,No model signal,,-1.6,0.0,0,0,,,,,,,2025-10-13,,,,,,,,,,,,
0012500056,2025-10-13T00:00:00Z,,,2025,False,0,1610612762,Utah Jazz,UTA,101,2,2_days,True,0.15,126.78,132.67,-5.89,1610612742,Dallas Mavericks,DAL,114,1,1_day,True,0.4,112.06,118.88,-6.81,11,37,0.2973,15,53,0.283,,,,,,,,,,LAST,122.83,122.365,245.195,,-0.4650000000000034,,,,,,,,,{},NONE,,,,,No model signal,,-0.25,0.0,0,0,,,,,,,2025-10-13,,,,,,,,,,,,
0012500020,2025-10-14T00:00:00Z,,,2025,False,0,1610612740,New Orleans Pelicans,NOP,128,,unknown,False,0.0,,,,1610612745,Houston Rockets,HOU,130,5,3_plus_days,False,0.0,126.0,118.0,8.0,9,38,0.2368,11,36,0.3056,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-14,,,,,,,,,,,,
0012500021,2025-10-14T00:00:00Z,,,2025,False,0,1610612757,Portland Trail Blazers,POR,111,3,3_plus_days,False,0.0,122.5,121.0,1.5,1610612744,Golden State Warriors,GSW,118,1,1_day,True,0.4,111.75,114.38,-2.62,9,43,0.2093,18,50,0.36,,,,,,,,,,LAST,118.44,116.375,234.815,,-2.0649999999999977,,,,,,,,,{},NONE,,,,,No model signal,,-0.4,0.0,0,0,,,,,,,2025-10-14,,,,,,,,,,,,
0012500057,2025-10-14T00:00:00Z,,,2025,False,0,1610612739,Cleveland Cavaliers,CLE,118,1,1_day,True,0.4,118.68,113.59,5.09,1610612765,Detroit Pistons,DET,100,4,3_plus_days,False,0.0,120.0,115.5,4.5,17,43,0.3953,8,24,0.3333,,,,,,,,,,LAST,117.09,116.795,233.885,,-0.2950000000000017,,,,,,,,,{},NONE,,,,,No model signal,,0.4,0.0,0,0,,,,,,,2025-10-14,,,,,,,,,,,,
0012500058,2025-10-14T00:00:00Z,,,2025,False,0,1610612749,Milwaukee Bucks,MIL,112,1,1_day,True,0.4,115.5,118.31,-2.81,1610612760,Oklahoma City Thunder,OKC,116,2,2_days,True,0.15,115.0,103.5,11.5,18,45,0.4,16,43,0.3721,,,,,,,,,,LAST,109.5,116.655,226.155,,7.155000000000001,,,,,,,,,{},NONE,,,,,No model signal,,0.25,0.0,0,0,,,,,,,2025-10-14,,,,,,,,,,,,
0012500059,2025-10-14T00:00:00Z,,,2025,False,0,1610612743,Denver Nuggets,DEN,124,1,1_day,True,0.4,118.19,114.31,3.88,1610612741,Chicago Bulls,CHI,117,1,1_day,True,0.4,117.5,123.39,-5.89,9,33,0.2727,13,38,0.3421,,,,,,,,,,LAST,120.78999999999999,115.905,236.695,,-4.884999999999991,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-14,,,,,,,,,,,,
